symptoms,disease
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Common Cold
"These are common features of ganglion cysts:  Location. Ganglion cysts most often develop along the tendons or joints of wrists or hands. The next most common locations are the ankles and feet. These cysts grow near other joints too. Shape and size. Ganglion cysts are round or oval. Some are too small to feel. The size of a cyst can change, often getting larger over time with joint movement. Pain. Ganglion cysts usually are painless. But if a cyst presses on a nerve or other structures, it can cause pain, tingling, numbness or muscle weakness. ",Ganglion Cyst
"chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"           Staph infection            Staph infection   Staph infection MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses.               Staph infection                Staph infection         Staph infection   Staph infection MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses.       Staph infection   Staph infection MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses.     Staph infection   Staph infection MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses.  Close  Close Staph infection   Staph infection MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses.  Staph infection MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses. MRSA infections start out as small red bumps that can quickly turn into deep, painful abscesses. MRSA Staph infections can range from minor skin problems to life-threatening illness. For example, endocarditis, a serious infection of the inner lining of your heart (endocardium) can be caused by staph bacteria. Signs and symptoms of staph infections vary widely, depending on the location and severity of the infection. Skin infections Skin infections caused by staph bacteria include:  Boils. The most common type of staph infection is the boil. This is a pocket of pus that develops in a hair follicle or oil gland. The skin over the infected area usually becomes red and swollen. If a boil breaks open, it will probably drain pus. Boils occur most often under the arms or around the groin or buttocks. Impetigo. This contagious, often painful rash can be caused by staph bacteria. Impetigo usually has large blisters that may ooze fluid and develop a honey-colored crust. Cellulitis. Cellulitis is an infection of the deeper layers of skin. It causes redness and swelling on the surface of your skin. Sores or areas of oozing discharge may develop, too. Staphylococcal scalded skin syndrome. Toxins produced by the staph bacteria may cause staphylococcal scalded skin syndrome. Affecting mostly babies and children, this condition includes a fever, a rash and sometimes blisters. When the blisters break, the top layer of skin comes off. This leaves a red, raw surface that looks like a burn.  Food poisoning Staph bacteria are one of the most common causes of food poisoning. The bacteria multiply in food and produce toxins that make you sick. Symptoms come on quickly, usually within hours of eating a contaminated food. Symptoms usually disappear quickly, too, often lasting just half a day. A staph infection in food usually doesn't cause a fever. Signs and symptoms you can expect with this type of staph infection include:  Nausea and vomiting Diarrhea Dehydration Low blood pressure  Bacteremia Also known as a bloodstream infection, bacteremia occurs when staph bacteria enter the bloodstream. A fever and low blood pressure are signs of bacteremia. The bacteria can travel to locations deep within your body to cause infections that affect:  Internal organs, such as your brain (meningitis), heart (endocarditis) or lungs (pneumonia) Bones and muscles Surgically implanted devices, such as artificial joints or cardiac pacemakers  Toxic shock syndrome This life-threatening condition results from toxins produced by some strains of staph bacteria. The condition has been linked to certain types of tampons, skin wounds and surgery. It usually develops suddenly with:  A high fever Nausea and vomiting A rash on your palms and soles that looks like a sunburn Confusion Muscle aches Diarrhea Stomach pain  Septic arthritis Septic arthritis is often caused by a staph infection. The bacteria often target the knees, shoulders, hips, and fingers or toes. Artificial joints may also be at risk of infection. Signs and symptoms may include:  Joint swelling Severe pain in the affected joint Fever ",Staph Infections
"I've been having headaches, chest pain, dizziness, and trouble concentrating. I'm also feeling off balance.",Hypertension
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"acidity,indigestion,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Migraine
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain",Common Cold
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain",Typhoid
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases",Peptic Ulcer Diseae
"I've been having trouble swallowing, and my throat is sore. My nose has been running, and I've been sneezing a lot.",Allergy
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Dimorphic Hemmorhoids(Piles)
"Typical agoraphobia symptoms include fear of:  Leaving home alone. Crowds or waiting in line. Enclosed spaces, such as movie theaters, elevators or small stores. Open spaces, such as parking lots, bridges or malls. Using public transportation, such as a bus, plane or train.  These situations cause anxiety because you fear you won't be able to escape or find help if you start to feel panicked. Or you may fear having other disabling or embarrassing symptoms, such as dizziness, fainting, falling or diarrhea. In addition:  Your fear or anxiety is out of proportion to the actual danger of the situation. You avoid the situation, you need a companion to go with you, or you endure the situation but are extremely upset. You have major distress or problems with social situations, work or other areas in your life because of the fear, anxiety or avoidance. Your fear and avoidance usually lasts six months or longer.  Panic disorder and agoraphobia Some people have panic disorder in addition to agoraphobia. Panic disorder is a type of anxiety disorder that includes panic attacks. A panic attack is a sudden feeling of extreme fear that reaches a peak within a few minutes and triggers a variety of intense physical symptoms. You might think that you're totally losing control, having a heart attack or even dying. Fear of another panic attack can lead to avoiding similar situations or the place where it happened in an attempt to prevent future panic attacks. Symptoms of a panic attack can include:  Rapid heart rate. Trouble breathing or a feeling of choking. Chest pain or pressure. Lightheadedness or dizziness. Feeling shaky, numb or tingling. Sweating too much. Sudden flushing or chills. Upset stomach or diarrhea. Feeling a loss of control. Fear of dying. ",Agoraphobia
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history",Hepatitis C
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
"burning_micturition,bladder_discomfort,foul_smell_of_urine,continuous_feel_of_urine",Urinary Tract Infection
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",Hypothyroidism
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain",Hepatitis D
"I've been having headaches and chest pains, and I've also fainted a few times. I've also noticed that it's hard for me to focus.",Hypertension
"vomiting,headache,weakness_of_one_body_side,altered_sensorium",Paralysis (Brain Hemorrhage)
"itching,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"           Bulging fontanel            Bulging fontanel   Bulging fontanel One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head.               Bulging fontanel                Bulging fontanel         Bulging fontanel   Bulging fontanel One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head.       Bulging fontanel   Bulging fontanel One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head.     Bulging fontanel   Bulging fontanel One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head.  Close  Close Bulging fontanel   Bulging fontanel One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head.  Bulging fontanel One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head. One of the major signs of encephalitis in infants is bulging of the soft spots (fontanels) of the baby's skull. Pictured here is the anterior fontanel. Other fontanels are found on the sides and back of an infant's head. Encephalitis may cause many different symptoms including confusion, personality changes, seizures or problems with movement. Encephalitis also may cause changes in sight or hearing. Most people with infectious encephalitis have flu-like symptoms, such as:  Headache. Fever. Aches in muscles or joints. Fatigue or weakness.  Typically, these are followed by more-severe symptoms over a period of hours to days, such as:  Stiff neck. Confusion, agitation or hallucinations. Seizures. Loss of sensation or being unable to move certain areas of the face or body. Irregular movements. Muscle weakness. Problems with speech or hearing. Loss of consciousness, including coma.  In infants and young children, signs and symptoms also might include:  Bulging in the soft spots of an infant's skull, known as fontanels. Nausea and vomiting. Stiffness affecting the whole body. Poor feeding or not waking for a feeding. Irritability.  In cases of autoimmune encephalitis, symptoms may develop more slowly over several weeks. Flu-like symptoms are less common, but can sometimes happen weeks before more-severe symptoms start. Symptoms are different for everyone, but it's common for people to have a combination of symptoms including:  Changes in personality. Memory loss. Problems understanding what is real and what is not, known as psychosis. Seeing or hearing things that aren't there. These are called hallucinations. Seizures. Changes in vision. Sleep problems. Muscle weakness. Loss of sensation. Problems walking. Abnormal movements. Bladder and bowel problems. ",Encephalitis
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"           Eye with uvea            Eye with uvea   Eye with uvea The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina.               Eye with uvea                Eye with uvea         Eye with uvea   Eye with uvea The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina.       Eye with uvea   Eye with uvea The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina.     Eye with uvea   Eye with uvea The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina.  Close  Close Eye with uvea   Eye with uvea The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina.  Eye with uvea The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina. The uvea consists of structures of the eye beneath the white of the eye (sclera). It has three parts: (1) the iris, which is the colored part of the eye; (2) the ciliary body, which is the structure in the eye that secretes the transparent liquid within the front of the eye; and (3) the choroid, which is the layer of blood vessels between the sclera and the retina. The signs, symptoms and characteristics of uveitis may include:  Eye redness. Eye pain. Light sensitivity. Blurred vision. Dark, floating spots in your field of vision (floaters). Decreased vision.  Symptoms may occur suddenly and get worse quickly, though in some cases, they develop gradually. They may affect one or both eyes. Occasionally, there are no symptoms, and signs of uveitis are observed on a routine eye exam. The uvea is the middle layer of tissue in the wall of the eye. It consists of the iris, the ciliary body and the choroid. When you look at your eye in the mirror, you will see the white part of the eye (sclera) and the colored part of the eye (iris). The iris is located inside the front of the eye. The ciliary body is a structure behind the iris. The choroid is a layer of blood vessels between the retina and the sclera. The retina lines the inside of the back of the eye, like wallpaper. The inside of the back of the eye is filled with a gel-like liquid called vitreous. The type of uveitis you have depends on which part or parts of the eye are inflamed:  Anterior uveitis affects the inside of the front of your eye (between the cornea and the iris) and the ciliary body. It is also called iritis and is the most common type of uveitis. Intermediate uveitis affects the retina and blood vessels just behind the lens (pars plana) as well as the gel in the center of the eye (vitreous). Posterior uveitis affects a layer on the inside of the back of your eye, either the retina or the choroid. Panuveitis occurs when all layers of the uvea are inflamed, from the front to the back of your eye.  When to seek medical advice Contact your doctor if you think you have the warning signs of uveitis. He or she may refer you to an eye specialist (ophthalmologist). If you're having significant eye pain and unexpected vision problems, seek immediate medical attention.",Uveitis
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations",Hypoglycemia
"I have a fever, chills, and severe itching. I also have a headache and am sweating a lot. I feel awful and have nausea and muscle aches.",Malaria
Signs and symptoms of mouth cancer may include:  A lip or mouth sore that doesn't heal A white or reddish patch on the inside of your mouth Loose teeth A growth or lump inside your mouth Mouth pain Ear pain Difficult or painful swallowing ,Mouth Cancer
"fatigue,high_fever,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"chills,fatigue,cough,high_fever,breathlessness,sweating,malaise,phlegm,chest_pain,fast_heart_rate,rusty_sputum",Pneumonia
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Diabetes 
"Early-stage Chlamydia trachomatis infections often cause few or no signs and symptoms. Even when signs and symptoms occur, they're often mild, making them easy to overlook. Signs and symptoms of Chlamydia trachomatis infection can include:  Painful urination Vaginal discharge in women Discharge from the penis in men Painful sexual intercourse in women Bleeding between periods and after sex in women Testicular pain in men  Chlamydia trachomatis can also infect the rectum, either with no signs or symptoms or with rectal pain, discharge or bleeding. You also can get chlamydial eye infections (conjunctivitis) through contact with infected body fluids.",Chlamydia
I've been having mood swings and my monthly cycle has changed. I've also had some unexpected vaginal discharge.,Drug Reaction
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Alcoholic Hepatitis
"vomiting,sunken_eyes,dehydration,diarrhoea",Gastroenteritis
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"An allergic reaction (contact dermatitis) usually begins within hours to days after exposure to nickel. The reaction may last as long as 2 to 4 weeks. The reaction tends to occur only where your skin came into contact with nickel, but sometimes may appear in other places on your body. Nickel allergy signs and symptoms include:  Rash or bumps on the skin Itching, which may be severe Redness or changes in skin color Dry patches of skin that may resemble a burn Blisters and draining fluid in severe cases ",Nickel Allergy
"Scabies symptoms include:  Itching, often severe and usually worse at night Thin, wavy tunnels made up of tiny blisters or bumps on the skin  Scabies is often found in the skin folds. But scabies can appear on many parts of the body. In adults and older children, scabies is most often found:  Between the fingers and toes In the armpits Around the waist Along the insides of the wrists On the inner elbows On the soles of the feet On the chest Around the nipples Around the belly button Around the genitals In the groin area On the buttocks  In infants and young children, common sites of scabies usually include the:  Fingers Face, scalp and neck Palms of the hands Soles of the feet  If you've had scabies before, symptoms may start within a few days of exposure. If you've never had scabies, it can take as long as six weeks for symptoms to start. You can still spread scabies even if you don't have any symptoms yet.",Scabies
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Malaria
"Often, compression of the celiac artery doesn't cause any symptoms. However, those with median arcuate ligament syndrome (MALS) can have long-term (chronic) stomach pain. The symptoms may be due to a lack of blood flow through the celiac artery or compression on nerves in the area. Symptoms of MALS include: MALS  Pain in the upper middle stomach area, which may go away when leaning forward Stomach pain after eating, exercising or changing body position Bloating Diarrhea Fear of eating food due to pain, leading to significant weight loss — usually greater than 20 pounds (9.1 kilograms) Nausea and vomiting ",Median Arcuate Ligament Syndrome Mals
"Bee stings can produce different reactions, ranging from temporary pain and discomfort to a severe allergic reaction. Having one type of reaction doesn't mean you'll always have the same reaction every time you're stung or that the next reaction will necessarily be more severe. Mild reaction Most of the time, bee sting symptoms are minor and include:  Instant, sharp burning pain at the sting site A red welt at the sting area Slight swelling around the sting area  In most people, the swelling and pain go away within a few hours. Moderate reaction Some people who get stung by a bee or other insect have a bit stronger reaction, with signs and symptoms such as:  Extreme redness Swelling at the site of the sting that gradually enlarges over the next day or two  Moderate reactions tend to resolve over five to 10 days. Having a moderate reaction doesn't mean you'll have a severe allergic reaction the next time you're stung. But some people develop similar moderate reactions each time they're stung. If this happens to you, talk to your doctor about treatment and prevention, especially if the reaction becomes more severe each time. Severe allergic reaction A severe allergic reaction (anaphylaxis) to bee stings is potentially life-threatening and requires emergency treatment. A small percentage of people who are stung by a bee or other insect quickly develop anaphylaxis. Signs and symptoms of anaphylaxis include:  Skin reactions, including hives and itching and flushed or pale skin Difficulty breathing Swelling of the throat and tongue A weak, rapid pulse Nausea, vomiting or diarrhea Dizziness or fainting Loss of consciousness  People who have a severe allergic reaction to a bee sting have a 25% to 65% chance of anaphylaxis the next time they're stung. Talk to your doctor or an allergy specialist about prevention measures such as immunotherapy (""allergy shots"") to avoid a similar reaction in case you get stung again. Multiple bee stings Generally, insects such as bees and wasps aren't aggressive and only sting in self-defense. In most cases, this results in one or perhaps a few stings. In some cases a person will disrupt a hive or swarm of bees and get multiple stings. Some types of bees — such as Africanized honeybees — are more likely than are other bees to swarm, stinging in a group. If you get stung more than a dozen times, the accumulation of venom may induce a toxic reaction and make you feel quite sick. Signs and symptoms include:  Nausea, vomiting or diarrhea Headache A feeling of spinning (vertigo) Convulsions Fever Dizziness or fainting  Multiple stings can be a medical emergency in children, older adults, and people who have heart or breathing problems.",Bee Stings
"vomiting,sunken_eyes,dehydration,diarrhoea",Gastroenteritis
"constipation,pain_during_bowel_movements,pain_in_anal_region,bloody_stool,irritation_in_anus",Dimorphic Hemmorhoids(Piles)
"fatigue,weight_gain,cold_hands_and_feets,mood_swings,lethargy,dizziness,puffy_face_and_eyes,enlarged_thyroid,brittle_nails,swollen_extremeties,depression,irritability,abnormal_menstruation",Hypothyroidism
"sunken_eyes,dehydration,diarrhoea",Gastroenteritis
"fatigue,weight_loss,restlessness,lethargy,irregular_sugar_level,blurred_and_distorted_vision,obesity,excessive_hunger,increased_appetite,polyuria",Diabetes 
"Blepharitis signs and symptoms are typically worse in the morning. They include:  Watery eyes Red eyes A gritty, burning or stinging sensation in the eyes Eyelids that appear greasy Itchy eyelids Red, swollen eyelids Flaking of the skin around the eyes Crusted eyelashes Eyelid sticking More frequent blinking Sensitivity to light Blurred vision that usually improves with blinking ",Blepharitis
"skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body",Chicken Pox
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"Gallstones may cause no signs or symptoms. If a gallstone lodges in a duct and causes a blockage, the resulting signs and symptoms may include:  Sudden and rapidly intensifying pain in the upper right portion of your abdomen Sudden and rapidly intensifying pain in the center of your abdomen, just below your breastbone Back pain between your shoulder blades Pain in your right shoulder Nausea or vomiting  Gallstone pain may last several minutes to a few hours.",Gallstones
"skin_rash,pus_filled_pimples,scurring",Acne
"Pyoderma gangrenosum usually starts with a small, red bump on your skin, which may resemble a spider bite. Within days, this bump can develop into a large, painful open sore. The ulcer usually appears on your legs, but may develop anywhere on your body. Sometimes it appears around surgical sites. If you have several ulcers, they may grow and merge into one larger ulcer.",Pyoderma Gangrenosum
"continuous_sneezing,shivering,chills,watering_from_eyes",Allergy
"I've been having eyesight problems, increased appetite, a sore neck, melancholy, irritability, and regular headaches, as well as acid reflux, indigestion, and frequent dizziness. These symptoms have made my regular activities more difficult and have caused me a great deal of distress.",Migraine
"stomach_pain,acidity,ulcers_on_tongue,vomiting,cough",Gerd
"headache,chest_pain,loss_of_balance,lack_of_concentration",Hypertension 
I have been feeling really sick. My body hurts a lot and I have no appetite. I have also developed rashes on my arms and face. The back of my eyes hurt a lot.,Dengue
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
"vomiting,headache,altered_sensorium",Paralysis (Brain Hemorrhage)
"cough,high_fever,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"headache,chest_pain,dizziness,lack_of_concentration",Hypertension 
"vomiting,headache,nausea,loss_of_balance,unsteadiness",(Vertigo) Paroymsal  Positional Vertigo
"           Vulva            Vulva   Vulva The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris.               Vulva                Vulva         Vulva   Vulva The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris.       Vulva   Vulva The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris.     Vulva   Vulva The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris.  Close  Close Vulva   Vulva The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris.  Vulva The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris. The vulva is the outer part of the female genitalia, including the labia majora, labia minora and clitoris. The main vulvodynia symptom is pain in your genital area, which can be characterized as:  Burning Soreness Stinging Rawness Painful intercourse (dyspareunia) Throbbing Itching  Your pain might be constant or occasional. It might occur only when the sensitive area is touched (provoked). You might feel the pain in your entire vulvar area (generalized), or the pain might be localized to a certain area, such as the opening of your vagina (vestibule). Vulvar tissue might look slightly inflamed or swollen. More often, your vulva appears normal. A similar condition, vestibulodynia, causes pain only when pressure is applied to the area surrounding the entrance to your vagina.",Vulvodynia
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",Osteoarthristis
"itching,skin_rash,nodal_skin_eruptions,dischromic__patches",Fungal Infection
"skin_rash,blister,red_sore_around_nose,yellow_crust_ooze",Impetigo
"itching,skin_rash,stomach_pain,spotting__urination",Drug Reaction
"joint_pain,neck_pain,knee_pain,hip_joint_pain,swelling_joints,painful_walking",Osteoarthristis
"I have a hard time swallowing, and I feel full even after eating a small meal. I often have heartburn, nausea, and a tingling in my throat.",Gastroesophageal Reflux Disease
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,history_of_alcohol_consumption,fluid_overload",Alcoholic Hepatitis
"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",Varicose Veins
"Symptoms of sepsis Symptoms of sepsis may include:  Change in mental status. Fast, shallow breathing. Sweating for no clear reason. Feeling lightheaded. Shivering. Symptoms specific to the type of infection, such as painful urination from a urinary tract infection or worsening cough from pneumonia.  Symptoms of sepsis are not specific. They can vary from person to person, and sepsis may appear differently in children than in adults. Symptoms of septic shock Sepsis may progress to septic shock. Septic shock is a severe drop in blood pressure. Progression to septic shock raises the risk of death. Symptoms of septic shock include:  Not being able to stand up. Strong sleepiness or hard time staying awake. Major change in mental status, such as extreme confusion. ",Sepsis
"chills,vomiting,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
"I have a lot of heartburn and indigestion, especially after I eat spicy or fatty foods. When I lie down or bend over, my chest discomfort gets worse. My chest hurts a lot.",Gastroesophageal Reflux Disease
I've been having terrible stomach pains and I've been vomiting and constipated. I'm worried about my health.,Typhoid
"The signs and symptoms of acute coronary syndrome usually begin abruptly. They include:  Chest pain (angina) or discomfort, often described as aching, pressure, tightness or burning Pain spreading from the chest to the shoulders, arms, upper abdomen, back, neck or jaw Nausea or vomiting Indigestion Shortness of breath (dyspnea) Sudden, heavy sweating (diaphoresis) Lightheadedness, dizziness or fainting Unusual or unexplained fatigue Feeling restless or apprehensive  Chest pain or discomfort is the most common symptom. However, signs and symptoms may vary significantly depending on your age, sex and other medical conditions. You're more likely to have signs and symptoms without chest pain or discomfort if you're a woman, older adult or have diabetes.",Acute Coronary Syndrome
"skin_rash,nodal_skin_eruptions,dischromic__patches",Fungal Infection
"joint_pain,fatigue,high_fever,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,acute_liver_failure,coma,stomach_bleeding",Hepatitis E
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum",Bronchial Asthma
"vomiting,breathlessness,chest_pain",Heart Attack
"chills,vomiting,high_fever,sweating,headache,nausea,diarrhoea,muscle_pain",Malaria
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Hepatitis D
I have a metallic taste in my mouth and my sense of taste and smell is different. I also have severe joint and muscle pain.,Drug Reaction
"skin_rash,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body",Dengue
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation",Hyperthyroidism
"fatigue,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",Varicose Veins
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes",Chronic Cholestasis
"fatigue,cramps,bruising,obesity,swollen_legs,swollen_blood_vessels,prominent_veins_on_calf",Varicose Veins
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,muscle_pain,red_spots_over_body",Dengue
"If you have rectal prolapse, you may notice a reddish mass that comes out of the anus, often while straining during a bowel movement. The mass may slip back inside the anus, or it may remain visible. Other symptoms may include:  The inability to control bowel movements (fecal incontinence) Constipation or diarrhea Leaking blood or mucus from the rectum Feeling that your rectum isn't empty after a bowel movement  Causes The cause for rectal prolapse is unclear. Though it's a common assumption that rectal prolapse is associated with childbirth, about one-third of women with the condition have never had children. Risk factors Certain factors may increase your risk of developing rectal prolapse, including:  Sex. A majority of people with rectal prolapse are women. Age. Rectal prolapse is more common in people over age 50.                   By Mayo Clinic Staff By Mayo Clinic Staff  Rectal prolapse care at Mayo Clinic ",Rectal Prolapse
"An enlarged spleen typically causes no signs or symptoms, but sometimes it causes:  Pain or fullness in the left upper belly that can spread to the left shoulder A feeling of fullness without eating or after eating a small amount because the spleen is pressing on your stomach Low red blood cells (anemia) Frequent infections Bleeding easily ",Enlarged Spleen
"skin_rash,pus_filled_pimples,scurring",Acne
"I have a burning sensation in my upper abdomen, and I frequently get nauseous, heartburn, and indigestion.",Peptic Ulcer Disease
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,depression,irritability,visual_disturbances",Migraine
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain",Dengue
"back_pain,weakness_in_limbs,neck_pain,dizziness,loss_of_balance",Cervical Spondylosis
I have been having trouble breathing for a few days. I have a high fever and I feel very tired. Can you recommend some medications for me?,Bronchial Asthma
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum",Tuberculosis
